Timestamp,YearOfStudy,EnglishFirstLanguage,Query,Respondent,Duplicate ID,Test,Topic,ChatMatch,TrueMatch,Reason,MatchedQuery,Word2Vec_similarity
2023-10-10,3,True,where is the nicol building located,1,0.0,False,Campus,,,,,
2023-10-10,3,True,when does the caf open,1,1.0,False,Campus,,,,,
2023-10-10,3,True,where can i check my courses,2,,True,Multiple Topics,,-1.0,,,
2023-10-10,3,True,where is a good place to eat on campus,2,3.0,True,Campus,13.0,0.0,Specific ,Where is the health center located,0.6032971143722534
2023-10-10,3,True,where can i park on campus,2,4.0,True,Transportation and Parking,28.0,1.0,,Where can I park when visiting the campus,0.8436899185180664
2023-10-10,3,True,when are exams taking place this year,2,5.0,True,Academic Calendar,7.0,0.0,Specific ,What's the academic calendar for this year,0.6106574535369873
2023-10-10,3,True,when can i register for summer classes,2,6.0,True,Academic Calendar,55.0,0.0,Specific ,How do I register for classes,0.8248744010925293
2023-10-10,2,True,how am i able to manage my time effectively while studying for tests exams,3,7.0,True,Academic Resources,44.0,0.0,Specific ,How can I get academic advising,0.706151008605957
2023-10-10,2,True,when is the best time place to study for exams,3,7.0,True,Academic Resources,44.0,0.0,Specific ,How can I get academic advising,0.522342324256897
2023-10-10,3,True,when is the deadline to enroll in summer 2024 classes,4,6.0,True,Academic Calendar,55.0,0.0,Specific ,How do I register for classes,0.6284700632095337
2023-10-10,3,True,can you direct me to carleton university's exam schedule,5,5.0,True,Academic Calendar,7.0,0.0,Specific ,What's the academic calendar for this year,0.49456775188446045
2023-10-10,3,True,how do i book a room at carleton university,5,,True,Campus,14.0,1.0,,How do I book a room in the student union building,0.8201874494552612
2023-10-10,3,True,what type of career services are offered at carleton university,5,,True,Career,134.0,0.0,General,Where is the career services office located and how can I schedule an appointment,0.7166969776153564
2023-10-10,3,False,when is reading week,6,132.0,True,Academic Calendar,7.0,0.0,Specific ,What's the academic calendar for this year,0.5395684242248535
2023-10-10,3,False,when is reading week,6,132.0,False,Academic Calendar,,,,,
2023-10-10,3,False,can i extend a letter of permission,6,,True,Study Abroad and Exchanges,,-1.0,,,
