Timestamp,YearOfStudy,EnglishFirstLanguage,Query,Respondent,Duplicate ID,Test,Topic,ChatMatch,TrueMatch,Reason
2023-10-10,3,True,where is the nicol building located,1,0.0,False,Campus,,,
2023-10-10,3,True,when does the caf open,1,1.0,False,Campus,,,
2023-10-10,3,True,where can i check my courses,2,,True,Multiple Topics,,-1.0,
2023-10-10,3,True,where is a good place to eat on campus,2,3.0,True,Campus,13.0,0.0,Specific 
2023-10-10,3,True,where can i park on campus,2,4.0,True,Transportation and Parking,28.0,1.0,
2023-10-10,3,True,when are exams taking place this year,2,5.0,True,Academic Calendar,7.0,0.0,Specific 
2023-10-10,3,True,when can i register for summer classes,2,6.0,True,Academic Calendar,55.0,0.0,Specific 
2023-10-10,2,True,how am i able to manage my time effectively while studying for tests exams,3,7.0,True,Academic Resources,44.0,0.0,Specific 
2023-10-10,2,True,when is the best time place to study for exams,3,7.0,True,Academic Resources,44.0,0.0,Specific 
2023-10-10,3,True,when is the deadline to enroll in summer 2024 classes,4,6.0,True,Academic Calendar,55.0,0.0,Specific 
2023-10-10,3,True,can you direct me to carleton university's exam schedule,5,5.0,True,Academic Calendar,7.0,0.0,Specific 
2023-10-10,3,True,how do i book a room at carleton university,5,,True,Campus,14.0,1.0,
2023-10-10,3,True,what type of career services are offered at carleton university,5,,True,Career,134.0,0.0,General
2023-10-10,3,False,when is reading week,6,132.0,True,Academic Calendar,7.0,0.0,Specific 
2023-10-10,3,False,when is reading week,6,132.0,False,Academic Calendar,,,
2023-10-10,3,False,can i extend a letter of permission,6,,True,Study Abroad and Exchanges,,-1.0,
2023-10-10,3,False,what time is the library open until,6,1.0,True,Campus,72.0,1.0,
2023-10-10,3,False,where is prof xyz's office,6,0.0,True,Campus,13.0,1.0,
2023-10-10,1,True,when will the otrain be functional at carleton,7,,True,Campus,229.0,0.0,Specific 
2023-10-10,2,True,what gpa do you need to get in a good coop internship job,8,,True,Multiple Topics,,-1.0,
2023-10-10,2,True,when is the next networking event for engineering students,9,,True,Career,171.0,0.0,Specific 
