Date,Prompt,Original Topic,Query,New Topic,Topic,Duplicate ID,Test,Topic_TSNE
2023-10-08,A,General Information,What courses do you offer,13,Academic Calendar,0,TRUE,"-84.70146179199219,170.7164306640625"
2023-10-08,A,General Information,When was the university established,17,Academic Calendar,,TRUE,"-84.70146179199219,170.7164306640625"
2023-10-08,A,General Information,Who is the current president/chancellor of the university,13,Academic Calendar,,TRUE,"-84.70146179199219,170.7164306640625"
2023-10-08,A,Admissions and Enrollment,What's the application deadline for the fall semester,7,Admissions,3,TRUE,"-253.31121826171875,146.1056671142578"
2023-10-08,A,Admissions and Enrollment,What are the requirements for international students,7,Admissions,,TRUE,"-253.31121826171875,146.1056671142578"
2023-10-08,A,Admissions and Enrollment,How do I apply for financial aid,7,Financial Information,5,TRUE,"29.64777946472168,257.22271728515625"
2023-10-08,A,Academics,How do I access online course materials,13,Information Technology,6,FALSE,"-508.04144287109375,40.713619232177734"
2023-10-08,A,Academics,What's the academic calendar for this year,13,Academic Calendar,7,TRUE,"-84.70146179199219,170.7164306640625"
2023-10-08,A,Academics,Are there study abroad programs available,13,Study Abroad and Exchanges,8,FALSE,"-37.47453308105469,-28.98046112060547"
2023-10-08,A,Student Services,How do I reset my student portal password,11,Information Technology,9,TRUE,"-508.04144287109375,40.713619232177734"
2023-10-08,A,Student Services,Where can I find information about on-campus housing,11,Housing,10,TRUE,"262.19744873046875,-236.9348907470703"
2023-10-08,A,Student Services,Is there a career counseling service available,11,Career,11,TRUE,"-151.28314208984375,13.832592010498047"
2023-10-08,A,Campus Facilities,What are the library opening hours,3,Campus,12,TRUE,"170.3932342529297,-172.3666687011719"
2023-10-08,A,Campus Facilities,Where is the health center located,3,Campus,13,TRUE,"170.3932342529297,-172.3666687011719"
2023-10-08,A,Campus Facilities,How do I book a room in the student union building,3,Campus,14,TRUE,"170.3932342529297,-172.3666687011719"
2023-10-08,A,Events and Activities,What events are happening this week,6,Campus,77,FALSE,"170.3932342529297,-172.3666687011719"
2023-10-08,A,Events and Activities,How can I join a student organization,6,Student Organizations,16,FALSE,"204.56529235839844,24.02768325805664"
2023-10-08,A,Events and Activities,Where can I buy tickets for the university football game,6,Athletics,46,FALSE,"269.6899108886719,133.2352294921875"
2023-10-08,A,Billing and Fees,How do I pay my tuition online,13,Financial Information,,TRUE,"29.64777946472168,257.22271728515625"
2023-10-08,A,Billing and Fees,When is the last date for tuition payment this semester,13,Financial Information,,TRUE,"29.64777946472168,257.22271728515625"
2023-10-08,A,Billing and Fees,Are there any scholarships available for graduate students,13,Financial Information,,TRUE,"29.64777946472168,257.22271728515625"
2023-10-08,A,Faculty and Research,How can I contact Professor X,16,Academic Resources,,TRUE,"-70.98403930664062,122.0456314086914"
2023-10-08,A,Faculty and Research,Where can I find research publications by the university faculty,16,Academic Resources,,TRUE,"-70.98403930664062,122.0456314086914"
2023-10-08,A,Faculty and Research,Are there any research assistant positions available in the Biology department,16,Research,,TRUE,"-250.35284423828125,303.8739318847656"
2023-10-08,A,Alumni,How can I request my transcripts,0,Graduation,24,TRUE,"-152.3739013671875,-117.56211853027344"
2023-10-08,A,Alumni,Are there any alumni events happening soon,0,Alumni,25,TRUE,"-225.3961639404297,-117.83951568603516"
2023-10-08,A,Alumni,How do I make a donation to the university,0,Alumni,26,TRUE,"-225.3961639404297,-117.83951568603516"
2023-10-08,A,Visitors,How do I schedule a campus tour,17,Campus,27,TRUE,"170.3932342529297,-172.3666687011719"
2023-10-08,A,Visitors,Where can I park when visiting the campus,17,Transportation and Parking,,TRUE,"565.49755859375,-361.1052551269531"
2023-10-08,A,Visitors,Are there any public lectures or seminars I can attend,17,Community Engagement,,TRUE,"364.3826904296875,-24.92564582824707"
2023-10-08,A,Emergency and Safety,What do I do if I've lost my student ID,4,Emergency and Safety,,TRUE,"485.61334228515625,-64.19918060302734"
2023-10-08,A,Emergency and Safety,How do I report a safety concern on campus,4,Emergency and Safety,145,FALSE,"485.61334228515625,-64.19918060302734"
2023-10-08,A,Emergency and Safety,Who do I contact for a medical emergency,4,Emergency and Safety,,TRUE,"485.61334228515625,-64.19918060302734"
2023-10-08,A,Technical Support,I'm having trouble accessing the e-learning platform Can you help,11,Information Technology,,TRUE,"-508.04144287109375,40.713619232177734"
2023-10-08,A,Technical Support,How do I connect to the university's Wi-Fi,11,Information Technology,34,TRUE,"-508.04144287109375,40.713619232177734"
2023-10-08,A,Technical Support,Are there IT services available to assist with software installations,11,Information Technology,,TRUE,"-508.04144287109375,40.713619232177734"
2023-10-08,A,Feedback and Grievances,How do I give feedback about a course or a professor,14,Feedback,149,FALSE,"432.46820068359375,405.8965759277344"
2023-10-08,A,Feedback and Grievances,Where can I file a complaint about a service on campus,14,Feedback,60,FALSE,"432.46820068359375,405.8965759277344"
2023-10-08,A,Feedback and Grievances,I have a suggestion for improving the campus cafeteria Who should I talk to,14,Feedback,223,FALSE,"432.46820068359375,405.8965759277344"
2023-10-08,B,Admissions and Enrollment,How do I apply to the university,7,Admissions,,TRUE,"-253.31121826171875,146.1056671142578"
2023-10-08,B,Admissions and Enrollment,What are the application deadlines,7,Admissions,3,FALSE,"-253.31121826171875,146.1056671142578"
2023-10-08,B,Admissions and Enrollment,What's the acceptance rate,7,Admissions,,TRUE,"-253.31121826171875,146.1056671142578"
2023-10-08,B,Admissions and Enrollment,What are the tuition fees for international students,7,Financial Information,,TRUE,"29.64777946472168,257.22271728515625"
2023-10-08,B,Student Services,Where is the career center located,11,Campus,13,FALSE,"170.3932342529297,-172.3666687011719"
2023-10-08,B,Student Services,How can I get academic advising,11,Academic Resources,44,TRUE,"-70.98403930664062,122.0456314086914"
2023-10-08,B,Student Services,Is there a health clinic on campus,11,Student Health and Wellness,,TRUE,"130.57623291015625,45.156131744384766"
