Timestamp,YearOfStudy,EnglishFirstLanguage,Query
10/10/2023 9:43:53,3,Yes,QQ where is the Nicol Building located? QQ when does the caf open?
10/10/2023 9:45:48,3,Yes,"QQWhere can I check my courses?
QQWhere is a good place to eat on Campus?
QQWhere can I park on Campus?
QQWhen are exams taking place this year?
QQWhen can I register for summer classes?"
10/10/2023 9:56:08,2,Yes,QQ how am I able to manage my time effectively while studying for tests/exams. QQ when is the best time/place to study for exams
10/10/2023 12:37:59,3,Yes,QQ: When is the deadline to enroll in summer 2024 classes?
10/10/2023 13:15:39,3,Yes,QQ Can you direct me to Carleton University's exam schedule? QQ How do i book a room at Carleton University? QQ What type of career services are offered at Carleton University?  
10/10/2023 13:50:08,3,No,"QQ When is reading week?
QQ Can I extend a Letter of Permission?
QQ What time is the library open until?
QQ Where is prof. XYZ's office?"
10/10/2023 14:38:13,1,Yes,QQ when will the O-train be functional at Carleton?
10/10/2023 14:42:25,2,Yes,what gpa do you need to get in a good co-op/internship job.
10/10/2023 14:43:48,2,Yes,QQ When is the next networking event for Engineering Students?
10/10/2023 14:46:28,1,No,QQ what is the procedure for becoming a ta
10/10/2023 14:48:14,4+,Yes,QQ where can I find the dates and deadlines calendar QQ When is the academic drop deadline QQ How do I drop a course
10/10/2023 14:50:34,1,No,QQ where is herzberg building QQwhere is walmart QQwhere can i find jobs QQ where can i find opportunities on campus 
10/10/2023 14:51:21,2,Yes,QQ WILL I FAIL MY CLASSES?
10/10/2023 14:54:17,4+,Yes,"QQ Where is the best place to study on campus
QQ What is best elective to take as an incoming second year 
QQ When will the new residence building be finished"
10/10/2023 14:56:07,4+,Yes,QQ offer different potential paper titles using the following title; QQ what year was the united nations created; etc.
10/10/2023 14:57:48,2,No,QQ What are the psychology academic advisor hours fall 2023? 
10/10/2023 14:59:30,4+,No,QQ can you please generate some practice test questions for my psych class
10/10/2023 15:00:21,2,No,QQ what is the best coffee shop at Carleton?
10/10/2023 15:02:20,1,No,QQ Where can I get my campus card?
10/10/2023 15:05:01,Staff,Yes,qqwhat type of food locations do you have on campus qq does the food locations accept dining dollars qq when are the reading weeks qq what type of resources are avalible on campus qq who should i reach out to about questions about my timetable
10/10/2023 15:07:37,1,Yes,QQ What type of individuals are eligible for the PMC accommodations 
10/10/2023 15:08:32,1,Yes,i can't imagine myself asking a chatbot anything.
10/10/2023 15:09:47,4+,Yes,"QQ what should i do after university?
QQ options for my degree?"
10/10/2023 15:10:48,4+,Yes,"qq how do I get a co-op position
qq how to meet other carelton students"
10/10/2023 15:12:37,2,Yes,where can i find payment due dates
10/10/2023 15:13:14,2,Yes,qq where can I find my course schedule
10/10/2023 15:14:36,2,Yes,QQ how to drop minor element
10/10/2023 15:15:45,3,Yes,QQ what's the probability i find a job after i graduate from mechanical engineering
10/10/2023 15:17:09,4+,Yes,qq how to read my audit qq how to navigate the tunnels 
10/10/2023 15:18:22,1,Yes,QQ where is the nearest water fountain 
10/10/2023 15:19:34,1,Yes,QQ where can i find cheep food near carleton
10/10/2023 15:21:21,Staff,Yes,QQ Where do coroners' inquest jurors meet?
10/10/2023 15:22:55,Staff,No,QQ where can I find the best coffee on campus
10/10/2023 15:24:07,4+,Yes,QQ where is Southam Hall?
10/10/2023 15:24:36,4+,Yes,where are the microwaves?
10/10/2023 15:26:34,2,Yes,"QQ where do I access past course outlines for my program

QQ how to I get involved with the school community "
10/10/2023 15:28:11,2,Yes,QQ What's the course outline for ________ class? QQ What are some resources for market research? QQ When does examination period start?
10/10/2023 15:29:26,2,Yes,QQ where is the student support centre?
10/10/2023 15:31:19,4+,Yes,How do i find my degree requirements
10/10/2023 15:33:57,2,Yes,QQ where is the library
10/10/2023 15:36:38,1,No,Where is library?
10/10/2023 15:38:28,1,No,i emailed carleton computer science because one my courses got filled
10/10/2023 15:39:53,1,No,is it possible to customize a degree?
10/10/2023 15:40:54,1,No,where can i find the book store 
10/10/2023 15:41:29,2,Yes,where can i find private study rooms in carleton/
10/10/2023 15:43:07,3,No,QQ where can i find free parking on campus
10/10/2023 15:43:40,Have not been admitted yet,No,QQ when does the bookstore close
10/10/2023 15:44:21,3,No,what is a virtual machine
10/10/2023 15:45:42,3,No,QQ Where can I find a water fountain in the Nideniyan building after the cafeteria closes.
10/10/2023 15:46:48,2,Yes,QQ how to find my carleton transcript
10/10/2023 15:47:46,3,Yes,QQ Where is my class located
10/10/2023 15:49:08,1,Yes,qq how to join club
10/10/2023 15:51:10,1,Yes,"QQ Where can i find a map of a building
QQ Where can I find my course calendar"
10/10/2023 15:52:22,2,Yes,QQ Fall term exam schedule
10/10/2023 15:54:00,1,Yes,QQ  how do i figure out how to pay my tuition
10/10/2023 15:55:04,1,Yes,how can i switch programs 
10/10/2023 15:58:46,Staff,No,qq Can students use ChatGPT for completing assignments?
10/10/2023 16:01:18,1,Yes,QQ where is the the ravens nest?
10/10/2023 16:02:07,Have not been admitted yet,No,QQ where can i find some hoes
10/10/2023 16:03:10,1,Yes,QQ where can I see exam schedule
10/10/2023 16:04:08,1,No,How do i get better grades?
10/10/2023 16:04:52,1,No,QQ how many bathrooms are there in total?
10/10/2023 16:06:19,1,No,qq how do i join a sports team
10/10/2023 16:07:25,1,Yes,QQ What kind of classes should I take for my degree?
10/11/2023 9:57:53,3,No,QQ When does fall term start? QQ When is the last day for tuition payment? QQ Where can I sign up for intramurals? QQ What can I access from the library? QQ How can I access the library?
10/11/2023 15:39:25,3,Yes,QQ summarise this document QQ what is the main topic in this text QQ how to get to the UC building from the library QQ which rooms are reserved for IRM students QQ what days are the campus closed QQ what is the holiday schedule for students 
10/11/2023 16:16:20,Staff,Yes,QQ What courses can I register for (course plans)? QQ Can you tell me about equivalent courses at Carleton and Letters of Permission QQ I am getting a registration warning when I try to register for a course in my program.  What should I do?  QQ How do I register for my elective? QQ How do I add a minor and what minors can I take? QQ What is the process to take a leave of absence? QQ What can I do to improve my CGPA? QQ I have a timetable conflict between courses.  What should I do? 
10/11/2023 17:01:06,4+,Yes,"QQ Where can I find deadlines on fall registration
QQ Where can I find deadlines for graduation
QQ Where can see my tuition fees"
10/12/2023 8:39:10,Staff,Yes,QQ Can I apply to more than one program? QQ who do I send my required documents and supplementary forms to? QQ When can I upload my required documents? QQ Can you review my documents before I apply? QQ How do I check the status of my application?
